playerID,year,avg_rating,avg_conference_rank,team_wins,team_losses,minutes,playoffs_made
abrossv01w,7,250.4,5.4,72,94,3682,2
adamsjo01w,7,35.0,4.0,18,16,96,1
aguilel01w,7,42.0,3.0,20,12,141,1
aldrima01w,7,29.0,6.0,24,40,307,1
alhalta01w,7,38.0,5.0,13,19,252,0
amachma01w,7,4.333333333333333,4.0,55,45,53,1
ambermo01w,7,0.0,6.0,14,18,4,0
anderch01w,7,83.33333333333333,4.666666666666667,44,58,1071,2
anderke01w,7,51.333333333333336,3.3333333333333335,50,46,567,3
andrame01w,7,161.5,3.75,65,65,2420,2
arcaija01w,7,375.8,2.6,109,55,5462,5
askamma01w,7,142.75,4.0,73,55,1587,2
aycocan01w,7,3.0,7.0,21,43,13,0
azizle01w,7,9.0,5.0,16,18,44,0
azzije01w,7,318.25,4.25,69,61,4051,2
badertr01w,7,29.666666666666668,3.3333333333333335,49,47,447,2
banchrh01w,7,1.0,3.0,21,11,21,1
baranel01w,7,461.75,3.5,72,62,3835,3
barksla01w,7,37.666666666666664,6.0,39,59,488,0
barnead01w,7,75.8,2.8,94,70,1312,4
barnequ01w,7,78.33333333333333,7.666666666666667,27,69,947,0
batkosu01w,7,217.0,2.0,20,14,461,1
batteja01w,7,0.0,6.0,14,20,46,0
battlas01w,7,2.0,2.0,20,14,8,1
bauerca01w,7,40.0,7.333333333333333,32,64,733,0
beardal01w,7,397.5,4.5,33,35,2040,1
bennije01w,7,11.0,2.0,21,13,52,1
berthlu01w,7,43.0,5.666666666666667,40,60,351,1
beviltu01w,7,167.16666666666666,4.666666666666667,96,102,3488,2
bibbyje01w,7,9.0,1.0,20,12,69,1
bibrzag01w,7,124.0,7.0,9,25,465,0
birdsu01w,7,454.75,3.25,75,59,4413,3
bjorkte01w,7,-1.0,5.0,16,18,13,0
blackde01w,7,228.0,3.8,84,80,3385,3
blodgci01w,7,28.5,2.5,41,23,205,2
blueoc01w,7,19.0,4.0,33,35,192,1
boltoru01w,7,206.8,3.6,92,72,3177,4
bonfisu01w,7,107.0,7.0,11,21,306,0
boydca01w,7,66.0,7.0,10,22,230,0
braxtka01w,7,180.0,4.0,16,18,455,1
brazian01w,7,91.0,7.0,18,46,544,0
bristre01w,7,0.0,4.0,18,14,5,1
brogami01w,7,288.0,4.0,20,12,725,1
brondsa01w,7,216.66666666666666,4.666666666666667,53,45,2588,1
brownco01w,7,74.66666666666667,4.333333333333333,52,50,943,1
browned01w,7,169.25,6.75,41,89,2492,0
brownki01w,7,42.2,4.4,78,90,780,3
brownru01w,7,230.75,3.0,67,63,2390,3
brumfma01w,7,75.0,3.6666666666666665,53,45,983,2
brungje01w,7,34.0,1.0,44,24,361,2
brunsre01w,7,248.0,2.5,43,25,1216,2
bullevi01w,7,427.6666666666667,5.0,41,55,3120,2
burgean01w,7,186.66666666666666,6.0,36,62,2204,1
burgeli01w,7,13.0,3.0,21,11,41,1
burraal01w,7,168.5,6.0,55,75,1489,0
burseja01w,7,188.8,4.4,80,86,2324,3
buttsta01w,7,97.0,3.0,18,16,423,1
byearla01w,7,238.75,1.5,98,32,1818,4
campbed01w,7,105.83333333333333,5.0,84,114,2680,3
campbmi01w,7,4.0,4.0,14,18,22,1
cantydo01w,7,208.66666666666666,5.166666666666667,85,113,4449,2
careyja01w,7,17.0,1.0,26,8,86,1
carteam01w,7,1.5,3.0,35,33,26,2
cashsw01w,7,432.5,4.0,67,67,3739,3
cassija01w,7,52.0,6.0,13,19,175,0
castriz01w,7,90.66666666666667,5.0,43,57,1239,1
catchta01w,7,693.0,4.25,68,66,4700,2
caufila01w,7,15.0,3.0,20,12,65,1
chapmji01w,7,27.0,8.0,9,23,119,0
choneka01w,7,15.5,4.5,33,35,176,1
chriska01w,7,135.25,6.0,52,82,1587,0
chrissh01w,7,202.0,2.5,36,32,1369,2
clearmi01w,7,82.0,4.5,33,31,558,1
clinest01w,7,45.333333333333336,4.333333333333333,50,46,465,2
cokermo01w,7,5.0,1.0,25,9,14,1
colemco01w,7,31.0,3.0,18,16,141,1
colleka01w,7,71.0,4.5,33,31,994,1
consuca01w,7,4.0,3.0,19,13,50,1
coopeca01w,7,27.5,1.5,39,25,170,2
coopecy01w,7,283.0,2.0,47,19,1229,2
crawlsy01w,7,285.75,6.25,49,81,3234,0
crockda01w,7,22.0,3.0,20,12,84,1
cunnibe01w,7,28.0,4.0,14,18,198,1
cunnida01w,7,-2.0,5.0,16,16,21,0
curryed01w,7,32.0,5.5,25,43,318,1
dalesst01w,7,271.6666666666667,4.666666666666667,43,57,2585,2
daleygr01w,7,58.0,4.25,68,62,856,2
darlihe01w,7,181.0,3.2,80,86,3473,4
deforan01w,7,334.0,5.5,55,79,3781,0
derevje01w,7,39.5,1.0,44,24,499,2
desouer01w,7,8.0,1.0,25,7,41,1
dickeke01w,7,105.0,4.5,34,30,797,1
dillata01w,7,14.0,6.666666666666667,28,74,424,0
dixonta01w,7,305.6666666666667,1.5,147,51,5327,6
donapbe01w,7,65.5,4.0,34,34,481,1
dossaci01w,7,126.0,4.333333333333333,45,51,1145,1
douglka01w,7,320.4,3.0,91,75,4230,3
dydekma01w,7,455.6666666666667,4.166666666666667,104,94,4900,3
edwarmi01w,7,29.666666666666668,6.0,33,63,485,1
edwarsi01w,7,184.33333333333334,4.833333333333333,91,107,3184,3
edwarte01w,7,235.0,3.5,36,32,1551,2
edwarto01w,7,121.25,3.75,69,59,1809,3
elysh01w,7,115.0,7.0,7,27,528,0
enissh01w,7,145.25,4.0,62,68,1618,3
erbsu01w,7,97.33333333333333,4.666666666666667,44,52,765,2
fallotr01w,7,288.0,5.0,13,19,841,0
farriba01w,7,113.83333333333333,4.666666666666667,91,107,2641,3
feastal01w,7,280.3333333333333,3.3333333333333335,104,94,5246,4
feifesu01w,7,4.0,1.0,25,9,24,1
ferdima01w,7,318.2,5.2,67,99,4553,2
ferrama01w,7,31.0,1.0,20,12,154,1
figgsuk01w,7,280.0,2.25,92,38,3551,3
firsool01w,7,9.0,1.0,20,12,19,1
floremi01w,7,68.0,6.0,13,19,474,0
folklkr01w,7,326.0,6.0,42,54,2309,0
fordch01w,7,459.6666666666667,2.6666666666666665,58,44,2800,3
fordki01w,7,92.5,4.5,33,31,819,1
fordst01w,7,2.0,4.0,35,29,15,1
francde01w,7,-1.0,1.0,20,12,2,1
fresest01w,7,64.0,5.0,18,14,222,0
frettla01w,7,82.42857142857143,3.142857142857143,133,99,2096,5
friertr01w,7,4.0,2.0,20,14,22,1
frohlli01w,7,47.0,3.5,34,32,281,1
futreca01w,7,40.0,1.0,18,16,144,1
gaithka01w,7,8.75,4.0,69,59,84,2
garcibe01w,7,2.0,8.0,9,23,64,0
gardnan01w,7,68.0,3.0,20,12,198,1
garnean01w,7,126.0,8.0,6,26,560,0
gaydeco01w,7,2.0,3.0,16,16,7,1
gibsoke01w,7,34.75,2.5,90,40,849,4
gilloje01w,7,278.0,4.25,68,62,2955,2
gilmous01w,7,1.0,7.0,9,23,21,0
goodsad01w,7,293.14285714285717,4.714285714285714,103,129,5407,3
gortmsh01w,7,55.666666666666664,5.333333333333333,45,55,593,2
grecomi01w,7,30.0,2.0,20,14,73,1
grginve01w,7,33.0,1.0,81,15,485,3
griffyo01w,7,584.1666666666666,3.1666666666666665,117,81,5688,5
groomla01w,7,134.2,3.6,92,72,2499,4
grubigo01w,7,112.4,6.0,60,104,2125,1
hallam01w,7,32.0,5.0,16,16,104,0
hallvi01w,7,62.0,2.5,74,54,944,3
hammobe01w,7,304.5,2.5,111,87,4680,5
hamzoro01w,7,4.0,3.0,16,16,43,1
harrido01w,7,5.0,7.0,9,23,67,0
harrili01w,7,230.6,5.6,68,96,3699,1
harrokr01w,7,119.5,6.0,54,78,1884,1
haydeva01w,7,210.5,4.5,32,36,945,1
haynikr01w,7,127.0,1.0,25,9,434,1
headde01w,7,33.0,4.0,20,12,149,1
hendene01w,7,25.0,4.0,19,13,179,1
hendetr01w,7,22.0,5.5,27,39,218,1
henniso01w,7,99.5,5.666666666666667,82,114,2905,2
herriam01w,7,112.33333333333333,3.6666666666666665,57,39,1058,2
hibbeka01w,7,50.0,8.0,6,26,240,0
hicksje01w,7,123.8,4.6,72,92,1708,2
hillec01w,7,7.5,6.5,21,43,221,0
hledeko01w,7,150.0,3.0,55,41,1451,2
hodgedo01w,7,108.0,2.5,42,26,914,2
hodgero01w,7,23.0,3.0,19,15,188,1
hoffmeb01w,7,135.0,4.0,36,32,831,1
holdsch01w,7,510.1666666666667,5.0,84,114,5672,4
hollake01w,7,245.4,3.6,93,71,4107,3
holmejo01w,7,103.0,5.0,14,18,271,0
hopeky01w,7,2.0,5.0,18,14,4,0
irvinsa01w,7,59.0,5.0,16,18,122,0
ivanyda01w,7,80.66666666666667,6.333333333333333,33,67,1100,0
iveyni01w,7,90.0,5.0,89,111,2231,2
jacksde01w,7,165.25,4.75,63,71,2182,2
jacksgw01w,7,120.75,5.75,54,82,1522,0
jacksla01w,7,621.0,4.2,85,81,5238,3
jacksta01w,7,94.0,2.6666666666666665,70,26,850,3
jacksta02w,7,143.16666666666666,5.5,82,116,2885,1
jacobam01w,7,97.0,4.5,32,36,869,1
johnsad01w,7,183.33333333333334,3.6666666666666665,50,48,2286,2
johnsch01w,7,7.0,1.0,24,10,45,1
johnsja01w,7,45.0,5.0,13,19,139,0
johnsla01w,7,38.2,4.6,82,82,1293,2
johnsni01w,7,28.0,8.0,8,24,78,0
johnspo01w,7,100.8,3.8,84,80,1550,3
johnssh01w,7,373.8333333333333,5.0,79,119,6186,2
johnste01w,7,391.0,5.0,16,18,973,0
johnsti01w,7,214.2,3.2,103,61,3193,4
johnsvi01w,7,361.5,2.5,111,87,6174,5
jonesas01w,7,234.0,3.0,70,64,2764,3
jonesch01w,7,93.0,4.333333333333333,47,55,1007,2
jonesja01w,7,8.0,6.0,13,19,233,0
jonesla01w,7,11.0,8.0,8,24,54,0
jonesme01w,7,272.8,3.4,83,81,4229,4
kingbsu01w,7,4.0,6.0,14,20,17,0
kingija01w,7,76.0,5.0,44,56,768,1
klimezu01w,7,1.5,4.5,32,34,42,1
koehnla01w,7,87.0,5.0,16,18,230,0
korstil01w,7,12.0,5.0,13,19,75,0
kostita01w,7,4.0,6.0,13,19,46,0
kraayca01w,7,63.0,3.0,18,16,196,1
kubikni01w,7,6.0,4.5,33,31,40,1
lacyve01w,7,4.0,1.0,20,12,18,1
lambesh01w,7,67.75,3.25,72,62,1143,3
lambmo01w,7,41.0,2.0,27,5,140,1
lassiam01w,7,134.16666666666666,4.0,110,88,2897,4
lawsoed01w,7,5.5,3.0,37,31,126,2
lawsoka01w,7,230.33333333333334,2.6666666666666665,62,40,2104,3
lazicka01w,7,6.0,2.0,21,11,55,1
lennobe01w,7,226.14285714285714,4.857142857142857,109,121,4224,3
leslili01w,7,641.1666666666666,1.5,147,51,6159,6
levanni01w,7,22.0,1.0,28,4,67,1
lewista01w,7,26.0,4.0,17,15,57,1
lewisty01w,7,78.5,4.166666666666667,97,103,1671,3
lloydan01w,7,83.0,6.0,15,17,333,0
lobore01w,7,35.666666666666664,2.3333333333333335,63,35,514,3
lovelst01w,7,121.25,6.25,48,84,1517,1
luckepa01w,7,2.0,5.0,13,19,8,0
luzhe01w,7,124.66666666666667,6.0,36,62,1128,1
lyttlsa01w,7,222.0,3.0,19,15,460,1
mabikmw01w,7,366.1666666666667,1.5,147,51,5192,6
macchla01w,7,102.0,2.5,42,26,558,2
machacl01w,7,167.0,3.3333333333333335,62,34,1429,2
mahonsh01w,7,17.0,4.0,31,33,171,1
maigaha01w,7,83.5,3.5,76,58,1275,3
malcona01w,7,161.5,5.0,26,38,1304,1
malloso01w,7,14.0,7.0,8,26,44,0
mannish01w,7,148.0,6.0,13,19,403,0
mannkr01w,7,84.0,6.0,14,20,185,0
mapprh01w,7,228.33333333333334,3.3333333333333335,60,38,1506,2
marcimi01w,7,115.33333333333333,6.333333333333333,37,59,1209,1
martima01w,7,129.5,6.0,27,37,950,0
martinu01w,7,-1.0,6.0,14,20,2,0
mascira01w,7,69.0,2.5,42,26,579,2
matteca01w,7,7.0,6.0,6,28,56,0
maxwemo01w,7,154.0,5.666666666666667,35,61,1437,1
mazzake01w,7,49.0,5.5,22,46,565,0
mccaibr01w,7,65.0,7.0,10,22,392,0
mccaiti01w,7,35.666666666666664,4.333333333333333,45,51,707,1
mccarja01w,7,92.0,6.0,6,28,311,0
mccarst01w,7,175.75,6.0,50,82,2166,0
mcconsu01w,7,201.0,2.0,17,15,705,1
mccrani01w,7,173.0,5.5,80,118,4339,2
mccrini01w,7,108.0,1.0,105,25,1493,4
mcculda01w,7,48.0,5.5,54,76,615,1
mcgheca01w,7,36.0,4.333333333333333,45,51,483,1
mckivte01w,7,112.33333333333333,4.333333333333333,40,62,780,1
mcwilta01w,7,462.1666666666667,3.0,107,91,5739,4
melvich01w,7,377.8333333333333,3.8333333333333335,99,99,5650,4
mendigi01w,7,11.0,4.0,18,16,39,1
miaomi01w,7,18.0,1.0,25,9,135,1
milleco01w,7,208.6,5.4,69,97,3254,2
milleke01w,7,220.6,3.2,90,76,3455,4
millsta01w,7,73.5,5.25,53,77,816,2
miltode01w,7,402.6666666666667,1.6666666666666667,146,52,5646,5
moisead01w,7,109.5,6.0,24,40,742,0
mooreja01w,7,40.0,4.0,16,16,128,1
mooreje01w,7,7.5,5.0,23,45,158,1
moorelo01w,7,34.0,3.0,18,16,182,1
mooreta01w,7,70.83333333333333,5.0,93,107,1347,2
moosca01w,7,0.0,6.0,15,17,6,0
moweje01w,7,2.0,4.333333333333333,51,47,54,1
mulitna01w,7,86.0,5.0,18,14,291,0
nagyan01w,7,100.66666666666667,4.0,49,47,1316,2
ndiayas01w,7,207.8,5.4,73,91,2701,1
nemcoev01w,7,85.5,1.5,39,25,556,2
nevescl01w,7,90.66666666666667,6.0,39,57,1237,0
newtoch01w,7,162.0,1.0,25,9,715,1
ngoyibe01w,7,64.0,4.0,25,41,263,1
nieuwma01w,7,3.0,4.0,17,17,16,1
nolande01w,7,323.0,4.6,77,89,4654,3
nygaava01w,7,125.75,5.25,60,70,1713,1
ohldeni01w,7,421.0,4.5,32,36,2056,1
owenhe01w,7,7.0,4.0,14,18,60,1
owenssh01w,7,64.5,4.0,31,33,611,1
pagemu01w,7,278.6666666666667,5.166666666666667,83,115,5033,3
paigeyo01w,7,17.0,2.0,21,13,78,1
palmewe01w,7,276.57142857142856,5.142857142857143,92,138,4631,2
pavlimi01w,7,6.0,5.0,27,39,50,1
payeka01w,7,84.66666666666667,5.333333333333333,44,52,1174,1
penicti01w,7,330.0,3.1666666666666665,117,81,5519,5
pennjo01w,7,48.5,7.0,18,50,291,0
perkiji01w,7,68.5,5.5,22,46,481,0
pettibr01w,7,109.0,4.5,65,65,1603,2
phillta01w,7,344.0,2.5,112,86,4746,5
pierspl01w,7,154.0,5.25,57,79,2167,1
potthan01w,7,1.0,6.0,15,17,8,0
powelel01w,7,208.71428571428572,4.142857142857143,112,118,4476,4
powelni01w,7,246.5,3.0,41,27,1372,1
pridely01w,7,105.2,5.2,74,90,1858,2
quinnte01w,7,30.0,7.0,9,23,118,0
radunha01w,7,6.0,2.0,21,11,9,1
raglafe01w,7,66.75,5.0,57,77,997,2
randase01w,7,100.6,5.6,68,96,2278,2
rasmukr01w,7,156.75,5.0,122,142,3610,2
reddja01w,7,108.33333333333333,6.666666666666667,33,63,1158,1
reedbr01w,7,217.33333333333334,5.333333333333333,44,52,1188,1
reidtr01w,7,96.0,6.25,47,83,1331,1
rileyru01w,7,319.0,3.4,93,73,4205,4
rizzoje01w,7,129.75,3.5,76,54,2133,3
robinas01w,7,98.5,5.0,33,35,789,0
robincr01w,7,314.3333333333333,2.5,111,87,5707,5
robinre01w,7,3.0,4.0,14,18,5,1
rolanja01w,7,17.0,3.0,16,16,173,1
salesny01w,7,426.1666666666667,3.0,107,91,6352,4
sampsch01w,7,109.0,8.0,6,26,280,0
samsh01w,7,351.3333333333333,4.5,92,106,6123,3
sanchis01w,7,10.0,3.0,17,17,62,1
sanfona01w,7,119.66666666666667,5.333333333333333,42,60,1080,1
santoal01w,7,4.5,7.5,19,45,73,0
santoke01w,7,48.5,7.5,19,45,322,0
sarenra01w,7,55.0,4.0,20,12,142,1
sauerpa01w,7,10.0,3.0,60,36,77,2
saundja01w,7,68.5,6.0,24,40,555,0
saureau01w,7,42.5,5.5,27,37,620,1
schumke01w,7,173.8,4.6,78,88,2329,2
schwege01w,7,92.66666666666667,6.0,40,58,1050,1
scottol01w,7,184.6,4.2,81,83,2687,2
shakiel01w,7,39.666666666666664,2.6666666666666665,64,32,358,3
sharpkb01w,7,70.5,4.0,34,34,638,1
slaisma01w,7,4.0,5.0,14,18,7,0
slauggw01w,7,3.0,3.0,18,16,7,1
slavtge01w,7,-2.0,7.0,8,26,12,0
smithai01w,7,105.5,5.5,26,42,825,1
smithch02w,7,227.16666666666666,4.333333333333333,94,104,4683,3
smithch03w,7,61.333333333333336,7.666666666666667,24,74,1122,0
smithje01w,7,-1.0,3.0,18,16,7,1
smithka01w,7,374.42857142857144,5.285714285714286,103,129,6710,3
smithla01w,7,7.0,3.0,16,16,12,1
smithta01w,7,397.6666666666667,4.0,98,100,5857,4
snellbe01w,7,78.0,5.0,16,18,226,0
snowmi01w,7,389.25,3.25,76,58,3364,3
spornra01w,7,68.0,7.0,10,22,265,0
stafftr01w,7,61.0,5.0,34,30,403,1
staleda01w,7,271.42857142857144,4.285714285714286,103,129,6446,4
starbka01w,7,57.4,4.2,89,73,1041,3
stedika01w,7,92.5,5.5,31,33,702,1
stepama01w,7,247.66666666666666,4.666666666666667,49,49,1394,1
stephst01w,7,8.0,3.0,17,17,36,1
stevema01w,7,24.0,4.5,29,39,312,1
stileja01w,7,177.5,6.0,27,37,1405,0
stinsan01w,7,352.3333333333333,4.166666666666667,94,104,4958,4
stiresh01w,7,29.666666666666668,6.666666666666667,37,59,340,0
stockta01w,7,2.0,8.0,10,22,11,0
streiju01w,7,235.66666666666666,5.0,40,58,1817,1
summela01w,7,14.0,1.0,26,8,43,1
sun-mju01w,7,22.0,5.0,18,16,118,0
suttota01w,7,361.8,3.8,76,90,4208,3
swoopsh01w,7,569.0,3.0,103,63,5623,4
tateso01w,7,28.0,6.0,15,17,94,0
tauradi01w,7,499.5,5.0,33,35,2219,0
tayloli01w,7,5.0,5.0,17,17,26,0
taylope01w,7,389.6,4.4,82,84,4295,2
teaslni01w,7,348.0,1.75,91,43,3727,4
thomach01w,7,206.5,2.5,42,26,1067,2
thomala01w,7,310.0,6.0,33,69,2321,1
thomast01w,7,83.25,5.0,117,149,2303,3
thompal01w,7,142.4,4.2,75,89,1998,3
thompti01w,7,405.8333333333333,3.1666666666666665,122,76,5597,5
thorner01w,7,31.0,3.6666666666666665,52,50,540,2
threaro01w,7,82.0,8.0,6,26,377,0
tilliic01w,7,85.0,3.0,17,17,287,1
timmsmi01w,7,90.5,4.5,33,31,584,1
torniel01w,7,318.5,6.0,24,40,1646,0
torrele01w,7,-2.0,3.0,20,12,8,1
traviti01w,7,188.0,8.0,8,24,574,0
tremich01w,7,74.0,7.0,9,23,318,0
tuvicsl01w,7,122.25,6.0,49,83,1701,0
udokamf01w,7,39.5,1.5,45,23,270,2
ujhelpe01w,7,1.0,1.0,25,9,68,1
umoh-it01w,7,0.0,2.0,20,14,6,1
valdeam01w,7,50.0,2.0,27,5,171,1
vangomi01w,7,79.2,5.6,68,96,1388,2
vealkr01w,7,105.5,6.0,24,40,1019,0
vodicka01w,7,284.6666666666667,5.333333333333333,87,111,4114,2
vodopna01w,7,34.0,2.0,20,14,98,1
walkeay01w,7,82.2,4.4,73,95,1300,3
walkede01w,7,226.0,4.5,99,99,3678,3
walsema01w,7,8.0,2.5,37,27,112,2
washico01w,7,126.0,3.4,102,60,2271,4
washito01w,7,36.0,5.4,68,96,952,2
wautean01w,7,283.8,3.0,85,79,3172,4
weathte01w,7,263.6,2.2,100,64,4122,4
webbum01w,7,25.0,6.0,13,19,195,0
weckeke01w,7,2.0,7.0,7,27,11,0
whaleli01w,7,402.5,1.0,44,24,1993,2
whitede01w,7,91.0,2.5,36,32,510,2
whiteta01w,7,135.0,2.0,21,13,693,1
whitiva01w,7,56.5,7.0,22,42,514,0
whitmta01w,7,263.8333333333333,2.5,117,81,4753,5
whittje01w,7,-4.0,8.0,10,22,20,0
wickssu01w,7,212.66666666666666,1.3333333333333333,59,37,1710,3
widemja01w,7,0.0,7.0,10,22,35,0
williad01w,7,167.0,5.833333333333333,78,120,2883,1
willian01w,7,36.0,5.0,16,18,149,0
willibe01w,7,0.0,7.0,9,23,3,0
willile01w,7,54.0,1.0,44,24,266,2
willile02w,7,10.0,8.0,9,23,177,0
willina01w,7,489.0,4.0,109,89,5925,3
williri01w,7,187.8,4.8,77,85,3006,2
willish01w,7,61.0,1.0,24,10,229,1
willita01w,7,68.0,7.0,10,22,174,0
willito01w,7,109.0,7.0,9,25,417,0
williwe01w,7,9.0,1.0,28,4,47,1
wilsoam01w,7,1.0,4.0,20,12,9,1
witheso01w,7,187.0,4.0,70,60,2516,2
wolteka01w,7,201.33333333333334,5.0,43,53,1249,1
wolvean01w,7,1.0,1.0,22,10,5,1
wrighsh01w,7,74.5,5.0,33,35,589,0
wrighta01w,7,144.0,2.0,20,14,528,1
wyckobr01w,7,183.0,3.5,73,59,2513,2
wynneda01w,7,4.0,2.0,20,12,3,1
yamasli01w,7,28.5,6.0,31,35,295,0
yilmane01w,7,9.0,7.0,17,51,111,0
youngca01w,7,60.0,6.0,27,37,465,0
zakalok01w,7,33.333333333333336,6.666666666666667,34,62,305,0
zarafr01w,7,101.0,2.0,20,14,413,1
zirkozu01w,7,10.0,7.0,9,25,30,0
